s3 uri,guest_name,job_name,language_code,vocab_name,categories,channel_identification,max_speakers,show_pii,show_transcript
s3://pse-audio-files/EFRL-1990-08-25-1.mp3,unknown,EFRL-1990-08-25-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-09-01-1.mp3,unknown,EFRL-1990-09-01-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-09-08-1.mp3,unknown,EFRL-1990-09-08-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-09-15-1.mp3,unknown,EFRL-1990-09-15-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-09-22-1.mp3,unknown,EFRL-1990-09-22-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-09-29-1.mp3,unknown,EFRL-1990-09-29-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-10-06-1.mp3,unknown,EFRL-1990-10-06-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-10-13-1.mp3,unknown,EFRL-1990-10-13-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-10-20-1.mp3,unknown,EFRL-1990-10-20-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-10-27-1.mp3,unknown,EFRL-1990-10-27-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-11-03-1.mp3,unknown,EFRL-1990-11-03-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-11-10-1.mp3,unknown,EFRL-1990-11-10-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-11-17-1.mp3,unknown,EFRL-1990-11-17-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-11-24-1.mp3,unknown,EFRL-1990-11-24-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-12-01-1.mp3,unknown,EFRL-1990-12-01-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-12-08-1.mp3,unknown,EFRL-1990-12-08-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-12-15-1.mp3,unknown,EFRL-1990-12-15-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-12-22-1.mp3,unknown,EFRL-1990-12-22-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1990-12-29-1.mp3,unknown,EFRL-1990-12-29-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-01-05-1.mp3,unknown,EFRL-1991-01-05-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-01-12-1.mp3,unknown,EFRL-1991-01-12-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-01-19-1.mp3,unknown,EFRL-1991-01-19-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-01-26-1.mp3,unknown,EFRL-1991-01-26-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-02-02-1.mp3,unknown,EFRL-1991-02-02-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-02-09-1.mp3,unknown,EFRL-1991-02-09-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-02-16-1.mp3,unknown,EFRL-1991-02-16-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-02-23-1.mp3,unknown,EFRL-1991-02-23-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
